uvrstitev,ID_tekmovalca,ime,razred,letnica_rojstva,drzava,teza,pocep,potisk_s_prsi,mrtvi_dvig,skupaj,tocke
1,1044602,Pavlov Saveliy,M3,1957,Russia,57.70,125,112,127,365,322.84
2,1044603,Fedotov Valeriy,M3,1954,Russia,57.72,115,67,155,337,298.42
3,1044604,Sharav Lkhagva,M3,1955,Mongolia,55.28,132,55,130,317,292.74
4,1044605,Shagdar Perenlei,M3,1951,Mongolia,58.78,115,60,137,312,271.62
1,1044606,Marksteiner Joseph,M3,1953,USA,65.50,170,92,182,445,351.61
2,1044607,Sugir Bogd-Ochir,M3,1958,Mongolia,65.64,130,100,160,390,307.61
1,1044608,Couturier Claude,M3,1952,France,73.15,175,127,190,492,357.20
2,1044609,Malenfant Patrick,M3,1958,France,73.05,170,125,180,475,344.85
3,1044610,Dash Namkhaidorj,M3,1952,Mongolia,71.95,170,100,180,450,330.34
1,1044611,"Clayton Willam ""Red Light""",M3,1953,USA,81.30,182,117,192,492,332.87
2,1044612,Ahopelto Voitto,M3,1956,Finland,82.25,150,127,180,457,307.04
1,1044613,Deltsov Aleksandr,M3,1958,Russia,91.90,210,188,215,613,387.29
2,1044614,Juntunen Antero,M3,1954,Finland,88.25,220,105,235,560,361.16
3,1044615,Bartolet Duane,M3,1953,USA,90.55,202,107,200,510,324.58
1,1044616,Baxter Vonn Ray,M3,1958,USA,99.40,282,190,267,740,451.45
2,1044617,Pamplin Gary,M3,1957,USA,103.85,250,218,240,708,425.03
3,1044618,Ydamsuren Amarjargal,M3,1956,Mongolia,102.65,187,120,185,492,296.72
1,1044619,Edwards Gary,M3,1953,USA,106.45,222,185,240,647,385.09
2,1044620,Myllyniemi Ari,M3,1958,Finland,113.20,240,175,222,637,372.02
3,1044621,Hopp Rudiger,M3,1955,Sweden,105.05,245,100,227,572,342.04
1,1044622,Smith Robert,M3,1957,USA,135.40,205,165,230,600,337.02
