uvrstitev,ID_tekmovalca,ime,razred,letnica_rojstva,drzava,teza,pocep,potisk_s_prsi,mrtvi_dvig,skupaj,tocke
1,1016461,Cornwall Marina,M3,1954,Great Britain,43.81,72,40,112,225,317.73
2,1016462,Seto Naomi,M3,1956,Japan,46.22,70,37,100,207,282.43
1,1016463,Viitasaari Vuokko,M3,1954,Finland,51.99,115,57,135,308,384.02
2,1016464,Perez Marlene,M3,1954,USA,50.68,100,60,115,275,349.66
3,1016465,Ishibashi Aiko,M3,1953,Japan,48.51,87,60,105,252,331.82
1,1016466,Guennec Edith,M3,1956,France,56.22,105,55,152,312,366.56
2,1016467,Hunter Jennifer,M3,1958,Great Britain,54.03,87,68,130,286,346.08
3,1016468,Thomas Denise,M3,1950,USA,55.35,85,47,115,247,293.89
4,1016469,Crumpton Kim,M3,1955,Canada,55.75,70,55,120,245,289.28
1,1016470,Marksteiner Cathleen,M3,1958,USA,61.80,102,73,135,311,338.93
2,1016471,Ellard Deb,M3,1958,Canada,61.72,110,65,125,300,327.26
3,1016472,Farrell Susan,M3,1951,South Africa,60.53,95,45,132,272,301.75
4,1016473,Bernard-Mahadeo Allison,M3,1955,Canada,60.77,95,47,130,272,300.83
1,1016474,Kimura Alma,M3,1954,USA,69.65,110,52,142,305,304.48
2,1016475,Brydges Mava,M3,1957,Canada,71.79,97,60,107,265,259.15
3,1016476,Billard Regine,M3,1955,France,67.12,70,37,102,210,215.20
1,1016477,Francis Janice,M3,1955,USA,81.91,110,67,152,330,298.11
2,1016478,Needham Stephanie,M3,1957,Canada,81.36,105,67,137,310,281.05
3,1016479,Sinclair Yvonne,M3,1950,New Zealand,74.78,105,52,140,297,283.34
4,1016480,Lord Roxanne,M3,1956,USA,82.30,115,52,130,297,268.08
5,1016481,Van Diepen Arlene,M3,1957,Canada,77.71,97,55,137,290,269.80
1,1016482,Nase Sandra,M3,1958,Canada,102.14,115,57,160,333,275.60
2,1016483,Pettersen Marit,M3,1954,Norway,91.29,122,60,147,330,283.50
3,1016484,Morrison Marsha,M3,1955,USA,92.89,90,65,127,282,241.07
