uvrstitev,ID_tekmovalca,ime,razred,letnica_rojstva,drzava,teza,pocep,potisk_s_prsi,mrtvi_dvig,skupaj,tocke
1,1016167,Burgess Iain,M4,1944,USA,58.23,105,60,125,290,254.29
2,1016168,Datt Mohan Sharmra,M4,1945,India,54.77,65,45,105,215,200.07
1,1016169,Okiura Katsuji,M4,1945,Japan,65.45,165,80,180,425,336.02
2,1016170,Rohrbach Walter Daniel,M4,1947,USA,65.20,122,82,145,350,277.61
3,1016171,Galant Alexander Henry,M4,1947,USA,62.30,102,52,137,292,241.21
1,1016172,Parkes Ernie,M4,1942,Great Britain,73.18,145,90,227,462,335.34
2,1016173,Sato Kuniyoshi,M4,1943,Japan,73.08,170,90,200,460,333.86
3,1016174,"Kravtsov Petro ""Peter""",M4,1946,USA,73.57,160,97,175,432,312.40
4,1016175,Stamboolian Jr Frank,M4,1938,USA,72.40,125,90,155,370,270.37
5,1016176,Cragg Thomas,M4,1941,Canada,69.33,77,25,145,247,186.85
1,1016177,Hughes Jeff,M4,1946,USA,79.91,127,95,187,410,280.11
2,1016178,Mattila Kari,M4,1945,Sweden,82.81,130,90,187,407,272.38
1,1016179,Foryś Kazimierz Michał,M4,1945,Germany,92.27,177,130,225,532,335.77
2,1016180,Greenidge Laurie,M4,1948,Canada,91.43,172,105,205,482,305.61
3,1016181,Gallant Tilman,M4,1948,Canada,88.18,140,140,160,440,283.89
1,1016182,Buchs Christian,M4,1947,France,97.75,213,115,235,563,345.86
2,1016183,Chala Yaroslav,M4,1948,Ukraine,97.38,160,150,205,515,317.19
3,1016184,Lopes Claudir,M4,1942,Brazil,99.82,170,140,170,480,292.33
1,1016185,Stevens Bill,M4,1947,Canada,109.96,200,130,210,540,318.12
2,1016186,Evans Robert,M4,1946,USA,106.19,140,115,140,395,235.12
