uvrstitev,ID_tekmovalca,ime,razred,letnica_rojstva,drzava,teza,pocep,potisk_s_prsi,mrtvi_dvig,skupaj,tocke
1,1044500,Viitasaari Vuokko,M3,1954,Finland,51.18,115,70,125,310,391.22
2,1044501,Goodrich Cinthia,M3,1957,USA,50.34,100,62,115,277,354.66
1,1044502,Hunter Jennifer,M3,1958,Great Britain,53.90,110,77,145,332,403.11
1,1044503,Eremenko Svetlana,M3,1957,Russia,57.18,132,57,130,320,370.41
2,1044504,Olah Lucica,M3,1955,Romania,62.65,115,40,132,287,310.07
3,1044505,Macko Leslie,M3,1949,USA,59.80,72,40,97,210,234.73
1,1044506,Marksteiner Cathleen,M3,1958,USA,63.30,95,75,140,310,331.73
1,1044507,Takáčová Hana,M3,1954,Czech Republic,85.50,190,132,160,483,427.00
2,1044508,Hallen Susan,M3,1957,USA,105.50,170,105,155,430,352.94
