uvrstitev,ID_tekmovalca,ime,razred,letnica_rojstva,drzava,teza,pocep,potisk_s_prsi,mrtvi_dvig,skupaj,tocke
1,1016378,Casey Mariska,M1,1978,South Africa,46.80,95,67,142,305,411.45
2,1016379,Rothman Lisa,M1,1975,USA,46.73,110,62,130,302,408.52
1,1016380,Hull Ellissa,M1,1972,Canada,50.31,125,65,157,347,444.32
2,1016381,Van Luen Muneyong,M1,1976,USA,51.30,135,70,142,347,437.75
3,1016382,Sandiford Shelley,M1,1970,Canada,50.76,102,65,160,327,415.92
4,1016383,Segade Shanny,M1,1975,Brazil,51.68,110,77,130,317,397.70
5,1016384,Sinniah-Burr Louise,M1,1978,Great Britain,51.04,92,67,150,310,392.04
6,1016385,Rebello Christine,M1,1972,Netherlands,51.24,100,62,140,302,381.41
7,1016386,Singhal Parul,M1,1974,India,49.98,60,37,112,210,269.86
0,1016387,Cottret Berangere,M1,1975,France,50.88,92,45,110,0,0
1,1016388,Pugh Brigot,M1,1975,Australia,55.33,120,75,187,382,454.32
2,1016389,Dahle Julie,M1,1978,Norway,56.96,135,87,140,362,420.87
3,1016390,Hedberg Carina,M1,1976,Sweden,56.27,130,87,142,360,421.98
4,1016391,Ayles Heather,M1,1971,Canada,56.75,122,75,145,342,398.81
1,1016392,Pickard Cass,M1,1974,Australia,62.21,147,75,195,417,452.70
2,1016393,Graham Abi,M1,1978,Great Britain,61.51,135,90,185,410,448.43
3,1016394,Aita Jo Ann,M1,1970,USA,61.37,142,82,162,387,424.56
4,1016395,Deeks Zoe,M1,1975,Australia,62.39,130,90,152,372,403.01
5,1016396,Lasante Holly,M1,1971,Canada,62.29,125,65,157,347,376.43
6,1016397,Falck Daniela,M1,1975,Germany,62.57,120,72,155,347,375.14
7,1016398,Vähäsantanen Marjaana,M1,1976,Finland,62.64,130,72,140,342,369.43
8,1016399,Kanatova Edita,M1,1974,Czech Republic,61.93,122,62,150,335,364.49
9,1016400,Meunier Sarah,M1,1978,France,61.75,100,70,120,290,316.24
10,1016401,Carion Stephanie,M1,1974,France,58.46,85,80,115,280,318.55
11,1016402,Lessing Vanessa,M1,1978,South Africa,61.10,85,50,127,262,288.58
1,1016403,Majomi Eno,M1,1974,Great Britain,70.33,165,90,185,440,436.32
2,1016404,Taylor-Hood Vicky,M1,1975,Canada,71.29,155,82,180,417,410.21
3,1016405,Kluge Christine,M1,1974,Canada,69.37,147,87,170,405,405.44
4,1016406,Butler Audria,M1,1978,USA,69.55,157,95,150,402,402.22
5,1016407,Sousa Maria De Lourdes,M1,1977,Brazil,71.47,137,82,150,370,362.92
6,1016408,McAlpine Debbie,M1,1976,South Africa,69.91,130,57,132,320,318.63
7,1016409,Cripps Gaenor,M1,1976,South Africa,69.21,85,47,150,282,283.27
1,1016410,Webb Alicia,M1,1971,USA,83.83,200,112,197,510,455.25
2,1016411,Tvedt Karen,M1,1977,Norway,81.38,182,92,175,450,407.92
3,1016412,Grey April,M1,1977,USA,83.54,157,95,187,440,393.45
4,1016413,Valkonen Piia,M1,1973,Finland,83.21,147,85,165,397,356.16
5,1016414,Sherwood Jenni,M1,1973,Great Britain,82.33,140,72,180,392,353.62
6,1016415,Agnarsdottir Laufey,M1,1973,Iceland,83.12,137,95,160,392,351.88
7,1016416,Marangoni Pia,M1,1978,South Africa,80.95,142,60,145,347,315.91
8,1016417,Park Fiona,M1,1977,New Zealand,81.34,130,70,142,342,310.56
9,1016418,Grimstad Nordstrand Kristi,M1,1978,Norway,80.25,125,75,140,340,310.57
10,1016419,Poxon Jodi,M1,1975,South Africa,78.15,100,57,130,287,266.59
1,1016420,Copeland Melissa,M1,1977,USA,93.55,195,107,195,497,423.41
2,1016421,Wynands Anjeannette,M1,1976,Canada,114.37,172,92,212,477,385.22
3,1016422,Whiteley Jo,M1,1970,Great Britain,123.36,187,92,190,470,374.00
4,1016423,O'Callaghan Tracy,M1,1978,Great Britain,97.47,190,82,185,457,383.91
